block_number,block_timestamp,base_fee_per_gas_wei,gas_used,gas_limit
24653049,2026-03-14 03:31:59+00:00,29289540,55022242,60000000
24653331,2026-03-14 04:28:23+00:00,30781052,21208574,60000000
24653450,2026-03-14 04:52:11+00:00,29152680,36535782,60000000
24653454,2026-03-14 04:53:11+00:00,29041752,11395726,60000000
24653455,2026-03-14 04:53:23+00:00,26790500,22414507,60000000
24653456,2026-03-14 04:53:35+00:00,25943754,19310317,60000000
24653462,2026-03-14 04:54:47+00:00,31191848,9373085,59999943
24653477,2026-03-14 04:57:47+00:00,29012514,59995492,60000000
24653803,2026-03-14 06:02:59+00:00,34114918,41668512,60000000
24653809,2026-03-14 06:04:11+00:00,30332978,59937181,59941351
24653846,2026-03-14 06:11:35+00:00,30402543,22307808,60000000
24653926,2026-03-14 06:27:47+00:00,31519987,35867385,59941408
24653974,2026-03-14 06:37:23+00:00,29174359,59300826,60000000
24653985,2026-03-14 06:39:35+00:00,40373810,54909207,59941408
24654015,2026-03-14 06:45:35+00:00,31815569,37742597,60000000
24654049,2026-03-14 06:52:23+00:00,29094004,55976176,60000000
24654080,2026-03-14 06:58:35+00:00,34475911,25506859,60000000
24654108,2026-03-14 07:04:11+00:00,39593876,27382717,60000000
24654146,2026-03-14 07:11:59+00:00,50366467,11437131,60000000
24654148,2026-03-14 07:12:23+00:00,44568615,59799459,60000000
24654565,2026-03-14 08:36:23+00:00,37488777,59988437,60000000
24654596,2026-03-14 08:42:35+00:00,37929046,55252267,60000000
24654604,2026-03-14 08:44:11+00:00,39663244,59988472,60000000
24654626,2026-03-14 08:48:35+00:00,38873438,59860869,59941408
24654627,2026-03-14 08:48:47+00:00,43719559,44270793,59999943
24654630,2026-03-14 08:49:23+00:00,41642820,27011612,60000000
24654776,2026-03-14 09:18:35+00:00,43919220,35877300,60000000
24654786,2026-03-14 09:20:35+00:00,40920050,14842395,60000000
24654806,2026-03-14 09:24:35+00:00,37493248,58617450,59999943
24654808,2026-03-14 09:24:59+00:00,45545498,19423692,60000000
24654810,2026-03-14 09:25:23+00:00,41570859,41936044,59999943
24654924,2026-03-14 09:48:11+00:00,32313222,19807746,60000000
24654928,2026-03-14 09:48:59+00:00,36495574,59993377,60000000
24654942,2026-03-14 09:51:47+00:00,40700090,58599589,59941408
24654973,2026-03-14 09:57:59+00:00,40951763,28259778,60000000
24655050,2026-03-14 10:13:23+00:00,40473361,54909449,60000000
24655067,2026-03-14 10:16:47+00:00,29315755,59980332,60000000
24655151,2026-03-14 10:33:47+00:00,41553139,37394130,59941408
24655157,2026-03-14 10:34:59+00:00,46369866,18280414,60000000
24655159,2026-03-14 10:35:23+00:00,41830157,59906937,60000000
24655187,2026-03-14 10:40:59+00:00,37549111,6610037,60000000
24655188,2026-03-14 10:41:11+00:00,33889644,55615040,60000000
24655210,2026-03-14 10:45:35+00:00,30912039,23248084,60000000
24655211,2026-03-14 10:45:47+00:00,30042392,49802226,60000000
24655251,2026-03-14 10:53:59+00:00,30711274,16893815,59941408
24655332,2026-03-14 11:10:11+00:00,33910991,16679320,60000000
24655608,2026-03-14 12:05:23+00:00,33375035,24373236,59882873
24655629,2026-03-14 12:09:35+00:00,31272594,53390652,60000000
24655672,2026-03-14 12:18:23+00:00,45833536,38500654,60000000
24656103,2026-03-14 13:44:35+00:00,44949738,41882659,60000000
24656500,2026-03-14 15:04:11+00:00,42862008,43183145,60000000
24656509,2026-03-14 15:05:59+00:00,41750211,21023439,60000000
24656520,2026-03-14 15:08:11+00:00,40907788,21981658,59999943
24656860,2026-03-14 16:16:47+00:00,42438545,37044771,59941408
24657485,2026-03-14 18:22:47+00:00,37503109,40767267,60000000
24657633,2026-03-14 18:52:35+00:00,29936104,59536865,60000000
24657815,2026-03-14 19:29:11+00:00,29549341,43000084,60000000
24657885,2026-03-14 19:43:11+00:00,40026118,33830917,60000000
24657988,2026-03-14 20:03:47+00:00,42681551,31995724,60000000
24658182,2026-03-14 20:42:47+00:00,37750131,26382802,60000000
24658196,2026-03-14 20:45:35+00:00,31558717,59016908,60000000
24658218,2026-03-14 20:49:59+00:00,34773747,59376946,60000000
24658220,2026-03-14 20:50:23+00:00,38030210,39116901,60058592
24658241,2026-03-14 20:54:35+00:00,36691395,22072870,60000000
24658251,2026-03-14 20:56:35+00:00,31619374,14521329,59941180
24658253,2026-03-14 20:56:59+00:00,32944400,37499863,60000000
24658257,2026-03-14 20:57:47+00:00,31340483,28449319,60000000
24658271,2026-03-14 21:00:35+00:00,30686471,45749587,60000000
24658272,2026-03-14 21:00:47+00:00,32700217,29892335,60000000
24658277,2026-03-14 21:01:47+00:00,29631879,58799434,60000000
24658346,2026-03-14 21:15:35+00:00,28779864,13318329,60000000
24658395,2026-03-14 21:25:35+00:00,29677830,59550413,60000000
24658499,2026-03-14 21:46:23+00:00,30405156,42854892,59999943
24658514,2026-03-14 21:49:23+00:00,28592575,59626157,59941408
24658519,2026-03-14 21:50:23+00:00,32514762,39424641,59999829
24658684,2026-03-14 22:23:35+00:00,29361598,59153645,60000000
24658689,2026-03-14 22:24:35+00:00,29764535,58002146,59999943
24658880,2026-03-14 23:02:59+00:00,24858227,18412980,60000000
24658881,2026-03-14 23:03:11+00:00,23658091,18061072,60000000
24658889,2026-03-14 23:04:47+00:00,26839282,59606017,59941408
24658890,2026-03-14 23:04:59+00:00,30156648,59999715,59999943
24658897,2026-03-14 23:06:23+00:00,32535346,23745465,60000000
24658909,2026-03-14 23:08:47+00:00,40762378,9956455,59941408
24658919,2026-03-14 23:10:47+00:00,40464839,14477822,60000000
24659215,2026-03-15 00:10:23+00:00,26195348,43694613,59882873
24659440,2026-03-15 00:55:59+00:00,24463228,50156789,60000000
24659938,2026-03-15 02:35:59+00:00,26305018,40048651,59941408
24659941,2026-03-15 02:36:35+00:00,25619106,34765793,59941408
24659981,2026-03-15 02:44:35+00:00,27226272,28180615,60000000
24660043,2026-03-15 02:56:59+00:00,26807560,33365173,60000000
24660140,2026-03-15 03:16:23+00:00,24717874,51495258,60000000
24660198,2026-03-15 03:27:59+00:00,27156232,43584637,60000000
24660249,2026-03-15 03:38:11+00:00,27727637,39975209,60000000
24660850,2026-03-15 05:38:47+00:00,32713796,27213710,60000000
24660866,2026-03-15 05:41:59+00:00,30147929,47744655,60000000
24661154,2026-03-15 06:39:47+00:00,39320009,14671868,60000000
24661480,2026-03-15 07:45:11+00:00,26093249,56795812,60000000
24661607,2026-03-15 08:10:59+00:00,29610366,53581759,60000000
24661863,2026-03-15 09:02:23+00:00,32988417,31327748,59999943
24662262,2026-03-15 10:22:11+00:00,28412761,27700969,60000000
