dex,pair_address,block_number,transaction_hash,log_index,event_name,topic0,removed
uniswap_v2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,24653049,0x2448a640cadde6d22b3b576a5ddd5b88dbfa6d6afc40071770ab5d3bfcb22a24,162,Sync,0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,False
uniswap_v2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,24653049,0x2448a640cadde6d22b3b576a5ddd5b88dbfa6d6afc40071770ab5d3bfcb22a24,163,Mint,0x4c209b5fc8ad50758f13e2e1088ba56a560dff690a1c6fef26394f4c03821c4f,False
uniswap_v2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,24653049,0x2448a640cadde6d22b3b576a5ddd5b88dbfa6d6afc40071770ab5d3bfcb22a24,199,Sync,0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,False
uniswap_v2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,24653049,0x2448a640cadde6d22b3b576a5ddd5b88dbfa6d6afc40071770ab5d3bfcb22a24,200,Burn,0xdccd412f0b1252819cb1fd330b93224ca42612892bb3f4f789976e6d81936496,False
uniswap_v2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,24653331,0x1ae2f47bf512e8d20176bdcca028876e76c2d5740fc0ee707d493b328c97a767,146,Sync,0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,False
uniswap_v2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,24653331,0x1ae2f47bf512e8d20176bdcca028876e76c2d5740fc0ee707d493b328c97a767,147,Swap,0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822,False
uniswap_v2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,24653450,0x2128978b7307a48fdbcd30a42db968cd180b26dbcf3495300b046671884a47ed,210,Sync,0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,False
uniswap_v2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,24653450,0x2128978b7307a48fdbcd30a42db968cd180b26dbcf3495300b046671884a47ed,211,Swap,0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822,False
sushiswap_v2,0xceff51756c56ceffca006cd410b03ffc46dd3a58,24653450,0x2128978b7307a48fdbcd30a42db968cd180b26dbcf3495300b046671884a47ed,225,Sync,0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,False
sushiswap_v2,0xceff51756c56ceffca006cd410b03ffc46dd3a58,24653450,0x2128978b7307a48fdbcd30a42db968cd180b26dbcf3495300b046671884a47ed,226,Swap,0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822,False
uniswap_v2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,24653454,0x193ff1a8ce0ef96612677f7612cc1d6f0601695b05d0cbb58c4bcdb304bd515e,178,Sync,0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,False
uniswap_v2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,24653454,0x193ff1a8ce0ef96612677f7612cc1d6f0601695b05d0cbb58c4bcdb304bd515e,179,Swap,0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822,False
sushiswap_v2,0xceff51756c56ceffca006cd410b03ffc46dd3a58,24653454,0x193ff1a8ce0ef96612677f7612cc1d6f0601695b05d0cbb58c4bcdb304bd515e,236,Sync,0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,False
sushiswap_v2,0xceff51756c56ceffca006cd410b03ffc46dd3a58,24653454,0x193ff1a8ce0ef96612677f7612cc1d6f0601695b05d0cbb58c4bcdb304bd515e,237,Swap,0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822,False
uniswap_v2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,24653455,0xf696933bf7ceb1c6f7833db241121b8a1254d0344249817cd271d024d07b1e5e,176,Sync,0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,False
uniswap_v2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,24653455,0xf696933bf7ceb1c6f7833db241121b8a1254d0344249817cd271d024d07b1e5e,177,Swap,0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822,False
sushiswap_v2,0xceff51756c56ceffca006cd410b03ffc46dd3a58,24653456,0xdcd7b465450091aace1d94db32f572750de7648e32c6e07a90053a8df54a594c,186,Sync,0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,False
sushiswap_v2,0xceff51756c56ceffca006cd410b03ffc46dd3a58,24653456,0xdcd7b465450091aace1d94db32f572750de7648e32c6e07a90053a8df54a594c,187,Swap,0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822,False
uniswap_v2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,24653456,0x67b229e7ae3b434ed242893a9aac70a6bc03df8641aac8d144705bad36056ee0,315,Sync,0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,False
uniswap_v2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,24653456,0x67b229e7ae3b434ed242893a9aac70a6bc03df8641aac8d144705bad36056ee0,316,Swap,0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822,False
uniswap_v2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,24653462,0xf9476666b230a7c39b703587ae0c888aecb7d3b48dad042073d2abfe638fe9c8,261,Sync,0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,False
uniswap_v2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,24653462,0xf9476666b230a7c39b703587ae0c888aecb7d3b48dad042073d2abfe638fe9c8,262,Swap,0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822,False
uniswap_v2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,24653477,0xebf650f91fd1fc851756f159a1f079028e77f3df5df9de07fd3264d67e1b5da1,146,Sync,0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,False
uniswap_v2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,24653477,0xebf650f91fd1fc851756f159a1f079028e77f3df5df9de07fd3264d67e1b5da1,147,Swap,0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822,False
sushiswap_v2,0xceff51756c56ceffca006cd410b03ffc46dd3a58,24653803,0xa93d5b6d8867a777fb18a805ade4a6905d6eae587465103ef5d184af86633d49,651,Sync,0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,False
sushiswap_v2,0xceff51756c56ceffca006cd410b03ffc46dd3a58,24653803,0xa93d5b6d8867a777fb18a805ade4a6905d6eae587465103ef5d184af86633d49,652,Swap,0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822,False
uniswap_v2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,24653809,0x11e99ba667eebf10a4c78d3e9cc104272a7d809d9bc66ef8c67156290f5e6421,312,Sync,0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,False
uniswap_v2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,24653809,0x11e99ba667eebf10a4c78d3e9cc104272a7d809d9bc66ef8c67156290f5e6421,313,Mint,0x4c209b5fc8ad50758f13e2e1088ba56a560dff690a1c6fef26394f4c03821c4f,False
uniswap_v2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,24653809,0x11e99ba667eebf10a4c78d3e9cc104272a7d809d9bc66ef8c67156290f5e6421,349,Sync,0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,False
uniswap_v2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,24653809,0x11e99ba667eebf10a4c78d3e9cc104272a7d809d9bc66ef8c67156290f5e6421,350,Burn,0xdccd412f0b1252819cb1fd330b93224ca42612892bb3f4f789976e6d81936496,False
sushiswap_v2,0xceff51756c56ceffca006cd410b03ffc46dd3a58,24653846,0x33ec320daa28ed73e75bf99722efbcfdc1811748fadbe8b3bbc948579055bc86,456,Sync,0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,False
sushiswap_v2,0xceff51756c56ceffca006cd410b03ffc46dd3a58,24653846,0x33ec320daa28ed73e75bf99722efbcfdc1811748fadbe8b3bbc948579055bc86,457,Swap,0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822,False
sushiswap_v2,0xceff51756c56ceffca006cd410b03ffc46dd3a58,24653926,0x3e2111e17573f2563fd0827f3600836a51cc923e9d0cacb6adf742d5cb1a15ea,595,Sync,0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,False
sushiswap_v2,0xceff51756c56ceffca006cd410b03ffc46dd3a58,24653926,0x3e2111e17573f2563fd0827f3600836a51cc923e9d0cacb6adf742d5cb1a15ea,596,Swap,0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822,False
sushiswap_v2,0xceff51756c56ceffca006cd410b03ffc46dd3a58,24653974,0x64e34e994046fd44c0fd4e2baaf3ff35c9c8f399b492c5dd780cf319b016a0b5,1012,Sync,0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,False
sushiswap_v2,0xceff51756c56ceffca006cd410b03ffc46dd3a58,24653974,0x64e34e994046fd44c0fd4e2baaf3ff35c9c8f399b492c5dd780cf319b016a0b5,1013,Swap,0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822,False
sushiswap_v2,0xceff51756c56ceffca006cd410b03ffc46dd3a58,24653985,0x9ecb96b0569f53a3c03df17fc005b7d9606235cfd9dfbd9d46be3f326a8ef5e4,317,Sync,0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,False
sushiswap_v2,0xceff51756c56ceffca006cd410b03ffc46dd3a58,24653985,0x9ecb96b0569f53a3c03df17fc005b7d9606235cfd9dfbd9d46be3f326a8ef5e4,318,Swap,0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822,False
