field,value
timestamp_start_utc,2026-03-16T08:00:00+00:00
timestamp_end_utc,2026-04-15T07:00:00+00:00
market_edge_rows,720
selected_pool_count,2
selected_pools_with_explicit_fee,1
selected_pools_with_unknown_fee,1
fee_known_intervals,0
fee_known_interval_share_pct,0.0
observed_close_positive_intervals,720
fee_adjusted_close_positive_intervals,0
conservative_fee_adjusted_positive_intervals,0
mean_observed_spread_bps,57.04932830707165
mean_fee_adjusted_spread_bps,
mean_conservative_fee_adjusted_spread_bps,
median_min_pool_volume_usd,0.0
min_current_pool_reserve_usd,26967.9096
