field,value
timestamp_start_utc,2026-03-16T07:00:00+00:00
timestamp_end_utc,2026-04-15T06:00:00+00:00
market_edge_rows,720
selected_pool_count,3
selected_pools_with_explicit_fee,2
selected_pools_with_unknown_fee,1
fee_known_intervals,719
fee_known_interval_share_pct,99.86111111111111
observed_close_positive_intervals,720
fee_adjusted_close_positive_intervals,210
conservative_fee_adjusted_positive_intervals,7
mean_observed_spread_bps,16.74502113137442
mean_fee_adjusted_spread_bps,-3.365639839904665
mean_conservative_fee_adjusted_spread_bps,-80.02917828119148
median_min_pool_volume_usd,0.6334370522496484
min_current_pool_reserve_usd,27.285
