field,value
timestamp_start_utc,2026-03-16T08:00:00+00:00
timestamp_end_utc,2026-04-15T07:00:00+00:00
market_edge_rows,720
selected_pool_count,3
selected_pools_with_explicit_fee,2
selected_pools_with_unknown_fee,1
fee_known_intervals,720
fee_known_interval_share_pct,100.0
observed_close_positive_intervals,720
fee_adjusted_close_positive_intervals,4
conservative_fee_adjusted_positive_intervals,0
mean_observed_spread_bps,20.224801338871828
mean_fee_adjusted_spread_bps,-39.77519866112817
mean_conservative_fee_adjusted_spread_bps,-93.06159259279245
median_min_pool_volume_usd,30671.18477132218
min_current_pool_reserve_usd,9055876.4186
