field,value
timestamp_start_utc,2026-03-16T08:00:00+00:00
timestamp_end_utc,2026-04-15T07:00:00+00:00
market_edge_rows,720
selected_pool_count,3
selected_pools_with_explicit_fee,3
selected_pools_with_unknown_fee,0
fee_known_intervals,720
fee_known_interval_share_pct,100.0
observed_close_positive_intervals,720
fee_adjusted_close_positive_intervals,315
conservative_fee_adjusted_positive_intervals,81
mean_observed_spread_bps,38.807045035770685
mean_fee_adjusted_spread_bps,2.800100591326242
mean_conservative_fee_adjusted_spread_bps,-57.83102013584176
median_min_pool_volume_usd,0.9147931464611385
min_current_pool_reserve_usd,183752.7141
